,Name,Birthday,Year,Age,Surgery,SurgeryAge,Experience,Control
0,Alex Smith,5/7/1984,2005,21,11/6/2008,24.51780822,3,Michael Vick
1,Andrew Luck,9/12/1989,2012,23,1/19/2017,27.37260274,5,Joe Flacco
2,Cam Newton,5/11/1989,2011,22,3/30/2017,27.90410959,6,Robert Griffin III
3,Chad Pennington,6/26/1976,2000,24,2/4/2005,28.63013699,5,Tony Romo
4,Don Majkowski,2/25/1964,1987,23,12/13/1990,26.81643836,3,Erik Kramer
5,Drew Brees,1/15/1979,2001,22,1/3/2006,26.98630137,5,Peyton Manning
6,Jay Cutler,4/29/1983,2006,23,12/3/2016,33.62191781,10,Matt Schaub
7,Jim McMahon,8/21/1959,1982,23,12/12/1986,27.32876712,4,Jim Everett
8,Jimmy Clausen,9/21/1987,2010,23,9/11/2013,25.99178082,3,Kellen Clemens
9,Kelly Holcomb,7/9/1973,1997,24,2/10/2004,30.6109589,7,Donald Hollas
10,Mark Sanchez,11/11/1986,2009,23,10/8/2013,26.9260274,4,Kyle Orton
11,Matt Moore,8/9/1984,2007,23,11/22/2010,26.30410959,3,Geno Smith
12,Matthew Stafford,2/7/1988,2009,21,1/21/2011,22.96986301,2,Drew Bledsoe
13,Rich Gannon,10/20/1965,1987,22,11/13/1993,28.08493151,6,Tommy Kramer
14,Ryan Leaf,5/15/1976,1998,22,7/26/1999,23.2109589,1,Tim Couch
15,Steve McNair,2/14/1973,1995,22,2/13/2001,28.01643836,6,Donovan McNabb
16,Tom Brady,8/3/1977,2000,23,2/13/2004,26.54794521,4,Brett Favre
17,Troy Aikman,11/21/1966,1989,23,1/2/1991,24.13150685,2,John Elway
18,Gary Danielson,9/10/1951,1977,26,1/15/1986,34.346667,8,Jim Kelly
